API_UWI,Unformatted_API_UWI,WellName,Country,StateProvince,County,ENVOperator,StateWellType,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,Field,Section,Township,Range,Section_Township_Range,ElevationKB_FT,ElevationGL_FT,PermitApprovedDate,DrillingEndDate,StateFileNumber,UpperPerf_FT,LowerPerf_FT,FirstProdYear
25-083-21789,2508321789,G. MARTIN  1-1R,US,MT,RICHLAND,SAMSON OIL AND GAS USA,OIL,NISKU,1990-08-01,48.03111308469717,-104.29328816668995,,,,12550.0,"Sioux Pass, North",01,026N,057E,01-026N-057E,,1964.0,1990-06-01,,,,,*Pre-2010
25-085-21698,2508521698,SAMPSEN  44-27H,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,INJECTION - DISPOSAL,RATCLIFFE,2006-10-01,48.31970362668972,-104.15331998740997,48.32986258532592,-104.16884821138738,,14215.0,Wildcat Roosevelt,27,030N,058E,27-030N-058E,2341.0,2321.0,2005-11-15,,,,,*Pre-2010
33-053-02408,3305302408,BUXBAUM     1-6,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON POOL,1992-12-01,47.84694254240412,-104.03591728377873,,,,9103.0,HARDING,06,150N,104W,06-150N-104W,1908.0,1894.0,,,13431,9008,9030,*Pre-2010
25-083-21138,2508321138,MCGINNIS  1-34,US,MT,RICHLAND,SAMSON OIL AND GAS USA,OIL,RED RIVER,1976-09-01,47.95995866010095,-104.3357912534165,,,,12690.0,"Sioux Pass, Middle",34,026N,057E,34-026N-057E,2309.0,2297.0,1976-06-21,,,,,*Pre-2010
25-083-21882,2508321882,FEDERAL  C-17,US,MT,RICHLAND,SAMSON OIL AND GAS USA,OIL,NISKU,2000-12-01,48.00912974708553,-104.26254279300456,,,,12650.0,"Sioux Pass, North",17,026N,058E,17-026N-058E,2122.0,2099.0,2000-08-08,,,,,*Pre-2010
25-085-21700,2508521700,PICARD  44-29H,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,OIL,RATCLIFFE,2006-09-01,48.318661950641165,-104.19670068308817,48.329541,-104.213655,,14653.0,Gunsight,29,030N,058E,29-030N-058E,2418.0,2393.0,2006-02-02,,,,,*Pre-2010
33-053-02602,3305302602,SCHMIDT 1-25H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-04-01,47.78786899999999,-103.68820699999999,47.777676541231436,-103.67153377964857,9377.0,14645.0,FOREMAN BUTTE,25,150N,102W,25-150N-102W,2168.0,2169.0,2004-06-25,2005-03-16,15622,9388,14645,*Pre-2010
33-053-02602,3305302602,SCHMIDT 1-25H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-04-01,47.78786899999999,-103.68820699999999,47.777676541231436,-103.67153377964857,9378.0,14645.0,FOREMAN BUTTE,25,150N,102W,25-150N-102W,2168.0,2169.0,2004-06-25,,,9388,14645,*Pre-2010
25-085-21803,2508521803,AUSTRALIA IV  12 KA 16,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,OIL,,,48.20244048715988,-104.72020503591587,48.213725,-104.737985,,15256.0,Wildcat Roosevelt,03,028N,054E,03-028N-054E,,2032.0,2011-07-06,,,,,
33-053-02592,3305302592,KILLEBREW 1-28H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2004-09-01,47.7888437,-103.75239709999998,47.77838559346731,-103.73749187925462,9433.0,14530.0,FOREMAN BUTTE,28,150N,102W,28-150N-102W,2286.0,2273.0,2004-04-20,2004-08-16,15587,9442,14530,*Pre-2010
